등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566486,다정함이 인격이다,김선희,나무생각,2025,인문과학자료실(3층),189.2 김54ㄷ
E566487,단단한 행복,양현길,유노책주,2025,인문과학자료실(3층),160.24 양94ㄷ
E566488,단지의 두 사람,양지윤,빈페이지,2026,인문과학자료실(3층),833.6 등63ㄷKㅇ
E566489,당신의 아이는 안전합니까?,오정수,작가의집,2026,사회자연과학자료실(2층),334.3 오74ㄷ
E566490,덜 멍청하게 살기 위한 최소한의 철학,"스벤젠, 라르스",한국경제신문,2026,인문과학자료실(3층),102 S968dKㅇ
E566491,"데이터로 읽고, 전략으로 움직여라",김세훈,책과나무,2026,사회자연과학자료실(2층),325.5 김54ㄷ
E566492,데일 카네기 긍정태도론,"Carnegie, Dale",현대지성,2026,커뮤니티라운지(1층-인기도서),325.04 C289hKㅂ
E566493,된다! 네이버 스마트플레이스,고수진,이지스퍼블리싱,2026,사회자연과학자료실(2층),325.555 고56ㄷ
E566494,드디어 만나는 중국 신화,黃德海,현대지성,2026,인문과학자료실(3층),219.12 황23ㄷKㅇ
E566495,"또, 단지의 두 사람",藤野千夜,빈페이지,2026,인문과학자료실(3층),833.6 등63ㅁKㅇ
E566496,마음은 어떻게 병을 치유하는가?,전홍준,서울셀렉션,2026,사회자연과학자료실(2층),512.49 전95ㅁ
E566497,매출의 설계자들,김경호,흐름출판,2026,사회자연과학자료실(2층),325.5 김13ㅁ
E566498,머리 달린 여자,서계수,오러,2026,인문과학자료실(3층),813.7 서13ㅁ
E566499,멀리 갈수록 세상은 더 넓어져,"Tellegen, Toon",arte(아르테),2026,인문과학자료실(3층),859.31 T273gKㅈ
E566500,멍청해지기 전에 읽는 뇌과학,이인아,Originals,2025,사회자연과학자료실(2층),511.1813 이68ㅁ
E566501,멘탈 회복력의 기술,"Zahariades, Damon",서울문화사,2026,인문과학자료실(3층),189.1 Z19sKㄱ
E566502,모두를 위한 강원국의 진짜 공부,강원국,책깃,2026,사회자연과학자료실(2층),373.4 강66ㅁ
E566503,모든 순간의 나를 믿어보기로 했다,최송이,더퀘스트,2026,인문과학자료실(3층),818 최55ㅁ
E566504,묘하게 다정한 날들,희서,수류책방,2026,사회자연과학자료실(2층),527.478604 희54ㅁ
E566505,무던해 보이지만 사실 예민한 사람입니다,최치현,빅피시,2026,인문과학자료실(3층),182.12 최86ㅁ
E566506,미술치료 매체와 기법,정여주,학지사,2026,사회자연과학자료실(2층),512.5156 미56
E566507,바꿀 수 없는 것을 바꾸지 않을 용기,천하이셴,더페이지,2026,인문과학자료실(3층),189.1 진93ㄷKㅂ
E566508,바다에서 온 소년,"Carr, Garrett",북파머스,2026,커뮤니티라운지(1층-인기도서),843.6 C311bKㅇ
E566509,바닥짐 위의 행복,정종민,지식터,2024,인문과학자료실(3층),191.6 정75ㅂ
E566510,바람이 되기에는 아직,笹原千波,요다,2026,인문과학자료실(3층),833.6 세66ㅂ
E566511,방향을 따라야 인생이 달라진다,"Hellerer, Megan",흐름출판,2026,사회자연과학자료실(2층),325.211 H477dKㅇ
E566512,복잡한 건 싫지만 AI는 해야겠어,최원정,아이생각,2026,인문과학자료실(3층),004.73 최66ㅂ
E566513,부의 사다리에 올라타라,박슬라,RHK,2026,커뮤니티라운지(1층-인기도서),327.04 M193wKㅂ
E566514,브레이크넥,"Wang, Dan",웅진지식하우스,2026,커뮤니티라운지(1층-인기도서),349.12042 W246bKㅇ
E566515,비자살적 자해의 이해,"Nock, Matthew K",㈜학지사,2026,인문과학자료실(3층),186.3 N758uKㅇ
E566516,사랑하는 듣기,박수인,아침달,2026,사회자연과학자료실(2층),670.4 박56ㅅ
E566517,사회적 히키코모리,斎藤環,에디투스,2026,사회자연과학자료실(2층),334.3 재26ㅅKㅇ
E566518,상업정보교과교재 및 연구법,안범진,탑북스,2021,사회자연과학자료실(2층),376.7 안44ㅅ2
E566519,서른을 위한 최소한의 철학 수업,최영원,이든서재,2026,인문과학자료실(3층),199.1 최64ㅅ
E566520,술 이름은 코리안 민트,홍은택,B.read(브.레드),2026,사회자연과학자료실(2층),573.41 홍67ㅅ
E566521,스노우 걸,박설영,반타,2026,인문과학자료실(3층),873 C352cKㅂ
E566522,스마트제조,노상도,교문사,2026,사회자연과학자료실(2층),323.08 스32
E566523,스마트폰 리터러시,김영한,샘솟는기쁨,2026,사회자연과학자료실(2층),334.3 김64ㅅ
E566524,영화가 사랑한 보석,민은미,J&jj(제이 앤 제이제이),2026,사회자연과학자료실(2층),633 민67ㅇ
E566525,슬기로운 동맹 생활,김준형,메디치(메디치미디어),2026,사회자연과학자료실(2층),349.11042 김76ㅅ
E566526,슬픔은 사람을 위한 것,송섬별,현대문학,2026,인문과학자료실(3층),848 C949gKㅅ
E566527,습관은 나의 힘,堀田秀吾,비즈니스북스,2026,커뮤니티라운지(1층-인기도서),199 굴74ㄱKㅈ
E566528,(단체급식 및 외식산업 관리자를 위한) 식품구매,양일선,교문사,2026,사회자연과학자료실(2층),594.84 식896ㄱ3
E566529,아동음악치료,양은아,학지사,2026,사회자연과학자료실(2층),512.5153 양67ㅇ
E566530,아무도 읽지 않습니다,김상원,황금가지,2026,인문과학자료실(3층),813.7 김52ㅇ
E566531,(알기 쉬운) 사회복지조사방법론,황성동,학지사,2026,사회자연과학자료실(2층),338.073 황54ㅅ3
E566532,영원히 계속되다가 끝이 난다,"Marcken, Anne de",허블,2026,커뮤니티라운지(1층-인기도서),843.6 M319lKㅅ
E566533,예술기반 연구,"McNiff, Shaun",학지사,2026,사회자연과학자료실(2층),512.5156 M169aKㅊ
E566534,오늘은 내가 너에게 갈게,이수연,마이디어북스,2026,인문과학자료실(3층),813.7 이56ㅇ
E566535,오버씽킹,"Holmberg, Betsy",웅진지식하우스,2026,커뮤니티라운지(1층-인기도서),189.1 H747uKㅇ
E566536,오십의 마음들,한창수,웅진지식하우스,2026,인문과학자료실(3층),189.1 한82ㅇ
E566537,왜 나의 다정함이 당신을 상처 입힐까,近內悠太,다다서재,2026,인문과학자료실(3층),191.5 근193ㄹKㄱ
E566538,(최신) 원가관리회계,홍철규,교문사,2025,사회자연과학자료실(2층),325.82077 홍83ㅇ
E566539,웰니스의 힘,엄승용,학자원,2026,사회자연과학자료실(2층),331.4 엄57ㅇ
E566540,위험사회와 위기관리,김영욱,학지사비즈,2026,사회자연과학자료실(2층),331.6 위94
E566541,유아 SW·AI 교육의 이해와 실제,이재은,공동체,2026,사회자연과학자료실(2층),375.1633 이73ㅇ2
E566542,(음식 처방하는 약사 황해연의)다이어트 마스터 클래스,황해연,다시여름,2026,커뮤니티라운지(1층-인기도서),594.675 황93ㄷ
E566543,음악교육공학과 에듀테크 활용 수업,조성기,학지사,2026,사회자연과학자료실(2층),670.72 음62
E566544,의복의 입체구성,강순희,교문사,2026,사회자연과학자료실(2층),592.3 강56ㅇ
E566545,이런 건 왜 또 기막히게 생각나서,배순탁,어라운드,2026,인문과학자료실(3층),818 배56ㅇ
E566546,이밍아웃,김날,오늘산책,2026,인문과학자료실(3층),818 김192ㅇ
E566547,이야기로 여는 교실,김민중,책과나무,2026,인문과학자료실(3층),029.8 김38ㅇ
E566548,인생을 묻는 청년에게,서재경,김영사,2026,인문과학자료실(3층),199.1 서73ㅇ
E566549,인생의 폭풍 속에서 춤을,이정민,나무사이,2026,인문과학자료실(3층),199.1 이74ㅇ
E566550,일곱 괴물이 사는 마음,"Leschziner, Guy",흐름출판,2026,사회자연과학자료실(2층),511.1813 L625sKㅇ
E566551,일하면서 바로 써먹는 아웃풋×성과 도감,樺沢紫苑,현대지성,2026,커뮤니티라운지(1층-인기도서),325.211 화883ㅎKㅈ
